Season,Episode,Quote
1,1,"Great leaders inspire greatness in others."
1,2,"Belief is not a matter of choice, but of conviction."
1,3,"Easy is the path to wisdom for those not blinded by ego."
1,4,"A plan is only as good as those who see it through."
1,5,"The best confidence builder is experience."
1,6,"Trust in your friends, and they’ll have reason to trust in you."
1,7,"You hold onto friends by keeping your heart a little softer than your head."
1,8,"Heroes are made by the times."
1,9,"Ignore your instincts at your peril."
1,10,"Most powerful is he who controls his own power."
1,11,"The winding path to peace is always a worthy one, regardless of how many turns it takes."
1,12,"Fail with honor rather than succeed by fraud."
1,13,"Greed and fear of loss are the roots that lead to the tree of evil."
1,14,"When surrounded by war, one must eventually choose a side."
1,15,"Arrogance diminishes wisdom."
1,16,"Truth enlightens the mind, but won’t always bring happiness to your heart."
1,17,"Fear is a disease; hope is its only cure."
1,18,"A single chance is a galaxy of hope."
1,19,"It is a rough road that leads to the heights of greatness."
1,20,"The costs of war can never be truly accounted for."
1,21,"Compromise is a virtue to be cultivated, not a weakness to be despised."
1,22,"A secret shared is a trust formed."
2,1,"A lesson learned is a lesson earned."
2,2,"Overconfidence is the most dangerous form of carelessness."
2,3,"The first step to correcting a mistake is patience."
2,4,"A true heart should never be doubted."
2,5,"Believe in yourself or no one else will."
2,6,"No gift is more precious than trust."
2,7,"Sometimes, accepting help is harder than offering it."
2,8,"Attachment is not compassion."
2,9,"For everything you gain, you lose something else."
2,10,"It is the quest for honor that makes one honorable."
2,11,"Easy isn’t always simple."
2,12,"If you ignore the past, you jeopardize the future."
2,13,"Fear not for the future, weep not for the past."
2,14,"In war, truth is the first casualty."
2,15,"Searching for the truth is easy. Accepting the truth is hard."
2,16,"A wise leader knows when to follow."
2,17,"Courage makes heroes, but trust builds friendships."
2,18,"Choose what is right, not what is easy."
2,19,"The most dangerous beast is the beast within."
2,20,"Who my father was matters less than my memory of him."
2,21,"Adversity is a friendship’s truest test."
2,22,"Revenge is a confession of pain."
3,1,"Brothers in arms are brothers for life."
3,2,"Fighting a war tests a soldier’s skills, defending his home tests a soldier’s heart."
3,3,"Where there’s a will, there’s a way."
3,4,"A child stolen is a hope lost."
3,5,"The challenge of hope is to overcome corruption."
3,6,"Those who enforce the law must obey the law."
3,7,"The future has many paths,choose wisely."
3,8,"A failure in planning is a plan for failure."
3,9,"Love comes in all shapes and sizes."
3,10,"Fear is a great motivator."
3,11,"Truth can strike down the spectre of fear."
3,12,"The swiftest path to destruction is through vengeance."
3,13,"Evil is not born, it is taught."
3,14,"The path to evil may bring great power, but not loyalty."
3,15,"Balance is found in the one who faces his guilt."
3,16,"He who surrenders hope, surrenders life."
3,17,"He who seeks to control fate shall never find peace."
3,18,"Adaptation is the key to survival."
3,19,"Anything that can go wrong will."
3,20,"Without honor, victory is hollow."
3,21,"Without humility, courage is a dangerous game."
3,22,"A great student is what the teacher hopes to be."
4,1,"When destiny calls, the chosen have no choice."
4,2,"Only through fire is a strong sword forged."
4,3,"Crowns are inherited, kingdoms are earned."
4,4,"Who a person truly is cannot be seen with the eye."
4,5,"Understanding is honoring the truth beneath the surface."
4,6,"Who’s the more foolish, the fool or the fool who follows him?"
4,7,"The first step towards loyalty is trust."
4,8,"The path of ignorance is guided by fear."
4,9,"The wise man leads, the strong man follows."
4,10,"Our actions define our legacy."
4,11,"Where we are going always reflects where we came from."
4,12,"Those who enslave others, inevitably become slaves themselves."
4,13,"Great hope can come from small sacrifices."
4,14,"Friendship shows us who we really are."
4,15,"All warfare is based on deception."
4,16,"Keep your friends close, but keep your enemies closer."
4,17,"The strong survive, the noble overcome."
4,18,"Trust is the greatest of gifts, but it must be earned."
4,19,"One must let go of the past to hold on to the future."
4,20,"Who we are never changes, who we think we are does."
4,21,"A fallen enemy may rise again, but the reconciled one is truly vanquished."
4,22,"The enemy of my enemy is my friend."
5,1,"Strength of character can defeat strength in numbers."
5,2,"Fear is a malleable weapon."
5,3,"To seek something is to believe in its possibility."
5,4,"Struggles often begin and end with the truth."
5,5,"Disobedience is a demand for change."
5,6,"He who faces himself, finds himself."
5,7,"The young are often underestimated."
5,8,"When we rescue others, we rescue ourselves."
5,9,"Choose your enemies wisely, as they may be your last hope."
5,10,"Humility is the only defense against humiliation."
5,11,"When all seems hopeless, a true hero gives hope."
5,12,"A soldier’s most powerful weapon is courage."
5,13,"You must trust in others or success is impossible."
5,14,"One vision can have many interpretations."
5,15,"Alliances can stall true intentions."
5,16,"Morality separates heroes from villains."
5,17,"Sometimes even the smallest doubt can shake the greatest belief."
5,18,"Courage begins by trusting oneself."
5,19,"Never become desperate enough to trust the untrustworthy."
5,20,"Never give up hope, no matter how dark things seem."
6,1,"The truth about yourself is always the hardest to accept."
6,2,"The wise benefit from a second opinion."
6,3,"When in doubt, go to the source."
6,4,"The popular belief isn’t always the correct one."
6,5,"To love, is to trust. To trust is to believe."
6,6,"Jealousy is the path to chaos."
6,7,"Deceit is the weapon of greed."
6,8,"Without darkness there cannot be light."
6,9,"Wisdom is born in fools as well as wise men."
6,10,"What is lost is often found."
6,11,"Madness can sometimes be the path to truth."
6,12,"Death is just the beginning."
6,13,"Facing all that you fear will free you from yourself."
7,1,"Embrace others for their differences, for that makes you whole."
7,2,"The search for truth begins with belief."
7,3,"Survival is one step on the path to living."
7,4,"Trust placed in another is trust earned."
7,5,"If there is no path before you, create your own."
7,6,"Mistakes are valuable lessons often learned too late."
7,7,"Who you were does not have to define who you are."
7,8,"You can change who you are, but you cannot run from yourself."